4217.56 5035.18 gnu
4500.15 5061.16 squirrel
3791.15 5499.02 penguin
5877.15 5571.11 squirrel
6580.96 3530.37 mule
4637.22 4663.87 squirrel
4136.6 4421.98 gnu
5188.5 4507.53 mouse
7194.74 4358.27 platypus
5759.44 3814.7 gnu
4038.79 4808.64 mule
4596.52 4473.35 coyote
3356.87 4085.99 mule
5213.47 4213.34 squirrel
5412.74 3805.83 mule
5004.39 4050.43 coyote
6680.79 4214.33 platypus
4461.42 7519.36 penguin
4132.19 4905.73 squirrel
3828.9 4975.81 gnu
4469.39 3778.1 monkey
5602.22 6513.66 monkey
6301.46 3609.76 platypus
4238.14 6029.99 platypus
5643.07 3557.24 monkey
5887.91 3678.82 monkey
4747.97 5776.24 monkey
5788.81 4808.66 coyote
5962.51 4128.87 gnu
4058.46 5367.32 gnu
6092.7 4879.64 mule
4015.91 6122.69 penguin
3595.36 4867.85 penguin
5593.64 5030.3 mouse
6939.85 5661.05 mule
4519.24 3495.93 mouse
6058.99 5277.14 gnu
5550.66 4286.42 squirrel
4098.71 7076.69 coyote
4655.81 6781.01 squirrel
5931.85 5223.78 platypus
3412.84 6015.83 penguin
5515.7 4983.67 penguin
3934.42 3380.76 fox
5067.53 3898.39 mule
5269.05 6037.65 coyote
5114.66 7045.81 mule
4311.37 4920.55 fox
6185.44 3437.61 fox
4209.17 4749.99 mouse
5425.02 5736.52 fox
5072.68 5571.4 gnu
5563.02 4818.44 gnu
4818.96 5908.18 monkey
5861.01 4566.58 monkey
5727.84 3569.5 penguin
5509.55 4963.86 mule
5182.1 4820.86 mule
5356.83 4902.05 coyote
6174.46 5375.3 coyote
4964.12 7686.32 platypus
2665.07 5327.23 penguin
3673.6 5923.8 mule
6169.77 6390.17 platypus
4624.78 6365.19 fox
3691.77 4396.07 monkey
5817.42 5754.53 squirrel
3934.28 4313.73 mouse
5231.33 5314.64 coyote
4450.26 6167.17 fox
4217.91 4174.2 penguin
4082.74 4129.74 penguin
6531.16 5056.32 penguin
5944.84 5896.21 penguin
5030.79 3265.52 fox
5470.51 6290.36 platypus
5430.1 6793.96 fox
4869.27 5862.94 mule
5469.75 5544.21 platypus
3686.53 6185.68 mule
5310.17 4768.88 squirrel
6970.71 5040.7 platypus
5184.58 5066.02 platypus
6302.24 4437.33 monkey
5582.85 4582.93 mule
5053.79 6027.84 mouse
5251.82 5227.36 platypus
3894.71 4360.9 fox
4796.36 3521.42 monkey
5796.5 4798.39 gnu
4410.42 5687.07 platypus
5199.95 7124.85 platypus
5178.9 5914.73 monkey
4727.48 5292.64 penguin
4275.59 6938.41 gnu
4297.44 6047.01 gnu
3779.89 5581.74 squirrel
5726.16 7180.71 penguin
4763.5 4056.33 mouse
4585.45 5629.02 fox
4609.1 6880.62 penguin
5289.25 5531.53 gnu
6875.69 5791.72 fox
4841.55 6215.48 gnu
7878.42 5534.6 monkey
6359.1 3343.05 mouse
4666.1 5511.77 mule
4990.73 4701.53 fox
4665.83 6172.03 platypus
6831.07 5898.97 penguin
6866.83 6872.79 squirrel
4264 3813.09 fox
4947.56 5183.59 squirrel
5441.7 3488.81 fox
3620.62 5595.21 monkey
5308.23 3137.09 gnu
4934.66 6801.61 platypus
4814.46 6117.4 mule
4689.82 6386.24 gnu
4322.46 6333.3 mule
3886.8 5472.14 coyote
5755.68 6266.39 platypus
5313.94 5781.96 penguin
4659.09 5527.87 coyote
4881.84 5259.09 platypus
4675.83 5847.98 fox
4669.07 6582.14 mouse
4618.85 5033.67 fox
5583.37 3836.4 penguin
4214.91 5144.23 coyote
3830.88 6019.81 mouse
4397.15 3491.8 squirrel
4803.24 5896.94 mule
4745.96 5548.14 mouse
5798.61 4257.43 platypus
3094.58 5703.89 mule
6493.74 5900.01 coyote
4064.1 5711.51 fox
5308.35 4462.63 mule
5162.64 4639.3 fox
4780 4884.18 gnu
6782.47 6145.46 mouse
3983.65 4090.55 fox
2432.95 6491.5 monkey
5008.48 7343.28 mouse
